open,high,low,close,snapshotTime
3016.5,3019.5,3008.5,3015.5,2026:03:02-09:30:00
3014.5,3017.5,3005.5,3006.5,2026:03:02-09:45:00
3007.5,3007.5,2999.5,3003.5,2026:03:02-10:00:00
3004.5,3009.5,2972.5,2974.5,2026:03:02-10:15:00
2973.5,2985.5,2965.5,2983.5,2026:03:02-10:30:00
2982.5,2994.5,2982.5,2989.5,2026:03:02-10:45:00
2990.5,2996.5,2976.5,2990.5,2026:03:02-11:00:00
2991.5,2997.5,2979.5,2981.5,2026:03:02-11:15:00
2980.5,2981.5,2957.5,2964.5,2026:03:02-11:30:00
2963.5,2992.5,2949.5,2981.5,2026:03:02-11:45:00
2982.5,3008.5,2982.5,2997.5,2026:03:02-12:00:00
2998.5,3020.5,2995.5,3017.5,2026:03:02-12:15:00
3018.5,3044.5,3015.5,3043.5,2026:03:02-12:30:00
3042.5,3062.5,3034.5,3046.5,2026:03:02-12:45:00
3045.5,3074.5,3032.5,3049.5,2026:03:02-13:00:00
3050.5,3050.5,3015.5,3030.5,2026:03:02-13:15:00
3031.5,3051.5,3027.5,3043.5,2026:03:02-13:30:00
3042.5,3046.5,2996.5,3010.5,2026:03:02-13:45:00
3011.5,3015.5,2969.5,2976.5,2026:03:02-14:00:00
2975.5,2994.5,2959.5,2967.5,2026:03:02-14:15:00
2968.5,2994.5,2966.5,2984.5,2026:03:02-14:30:00
2983.5,2988.5,2923.5,2933.5,2026:03:02-14:45:00
2930.5,2966.5,2923.5,2957.5,2026:03:02-15:00:00
2958.5,2977.5,2950.5,2964.5,2026:03:02-15:15:00
2965.5,2979.5,2963.5,2973.5,2026:03:02-15:30:00
2974.5,2974.5,2953.5,2962.5,2026:03:02-15:45:00
2961.5,2965.5,2943.5,2957.5,2026:03:02-16:00:00
2956.5,2961.5,2936.5,2944.5,2026:03:02-16:15:00
2943.5,2951.5,2929.5,2931.5,2026:03:02-16:30:00
2930.5,2944.5,2922.5,2932.5,2026:03:02-16:45:00
2931.5,2940.5,2927.5,2935.5,2026:03:02-17:00:00
2936.5,2944.5,2928.5,2944.5,2026:03:02-17:15:00
2942.5,2961.5,2938.5,2947.5,2026:03:02-17:30:00
2948.5,2963.5,2944.5,2951.5,2026:03:02-17:45:00
2950.5,2958.5,2942.5,2957.5,2026:03:02-18:00:00
2956.5,2966.5,2949.5,2965.5,2026:03:02-18:15:00
2966.5,2974.5,2953.5,2960.5,2026:03:02-18:30:00
2959.5,2965.5,2953.5,2962.5,2026:03:02-18:45:00
2963.5,2974.5,2956.5,2969.5,2026:03:02-19:00:00
2970.5,2977.5,2959.5,2971.5,2026:03:02-19:15:00
2970.5,2973.5,2958.5,2969.5,2026:03:02-19:30:00
2970.5,2970.5,2961.5,2963.5,2026:03:02-19:45:00
2962.5,2980.5,2957.5,2980.5,2026:03:02-20:00:00
2981.5,2994.5,2977.5,2988.5,2026:03:02-20:15:00
2989.5,2991.5,2984.5,2988.5,2026:03:02-20:30:00
2989.5,2998.5,2985.5,2987.5,2026:03:02-20:45:00
2988.5,3004.5,2985.5,3000.5,2026:03:02-21:00:00
2999.5,3004.5,2992.5,2992.5,2026:03:02-21:15:00
2993.5,3000.5,2988.5,2995.5,2026:03:02-21:30:00
2994.5,2995.5,2986.5,2987.5,2026:03:02-21:45:00
2987.0,2996.0,2986.5,2992.5,2026:03:02-23:00:00
2991.5,2991.5,2979.5,2979.5,2026:03:02-23:15:00
2980.5,2993.5,2980.5,2992.5,2026:03:02-23:30:00
2991.5,2993.5,2987.5,2988.5,2026:03:02-23:45:00
2989.5,2997.5,2989.5,2994.5,2026:03:03-00:00:00
2993.5,2997.5,2992.5,2997.5,2026:03:03-00:15:00
2998.5,3001.5,2996.5,2999.5,2026:03:03-00:30:00
2998.5,3000.5,2994.5,2995.5,2026:03:03-00:45:00
2993.5,3003.5,2992.5,3002.5,2026:03:03-01:00:00
3001.5,3008.5,3000.5,3005.5,2026:03:03-01:15:00
3004.5,3015.5,3004.5,3009.5,2026:03:03-01:30:00
3010.5,3014.5,3002.5,3009.5,2026:03:03-01:45:00
3008.5,3008.5,3000.5,3006.5,2026:03:03-02:00:00
3007.5,3025.5,3004.5,3022.5,2026:03:03-02:15:00
3021.5,3022.5,3011.5,3014.5,2026:03:03-02:30:00
3013.5,3013.5,3008.5,3011.5,2026:03:03-02:45:00
3010.5,3013.5,3007.5,3008.5,2026:03:03-03:00:00
3009.5,3012.5,3008.5,3008.5,2026:03:03-03:15:00
3009.5,3020.5,3009.5,3019.5,2026:03:03-03:30:00
3020.5,3025.5,3018.5,3022.5,2026:03:03-03:45:00
3024.5,3030.5,3019.5,3025.5,2026:03:03-04:00:00
3024.5,3031.5,3021.5,3028.5,2026:03:03-04:15:00
3029.5,3034.5,3024.5,3032.5,2026:03:03-04:30:00
3033.5,3038.5,3032.5,3037.5,2026:03:03-04:45:00
3038.5,3044.5,3033.5,3035.5,2026:03:03-05:00:00
3036.5,3043.5,3030.5,3042.5,2026:03:03-05:15:00
3041.5,3047.5,3039.5,3042.5,2026:03:03-05:30:00
3043.5,3047.5,3030.5,3044.5,2026:03:03-05:45:00
3043.5,3044.5,3032.5,3038.5,2026:03:03-06:00:00
3039.5,3061.5,3037.5,3058.5,2026:03:03-06:15:00
3059.5,3064.5,3048.5,3055.5,2026:03:03-06:30:00
3054.5,3061.5,3046.5,3055.5,2026:03:03-06:45:00
3054.5,3093.5,3054.5,3084.5,2026:03:03-07:00:00
3085.5,3094.5,3077.5,3091.5,2026:03:03-07:15:00
3092.5,3103.5,3082.5,3098.5,2026:03:03-07:30:00
3099.5,3112.5,3093.5,3107.5,2026:03:03-07:45:00
3106.5,3132.5,3106.5,3116.5,2026:03:03-08:00:00
3117.5,3129.5,3109.5,3120.5,2026:03:03-08:15:00
3121.5,3130.5,3101.5,3117.5,2026:03:03-08:30:00
3118.5,3134.5,3116.5,3126.5,2026:03:03-08:45:00
3124.5,3148.5,3116.5,3142.5,2026:03:03-09:00:00
3143.5,3151.5,3141.5,3143.5,2026:03:03-09:15:00
3142.5,3187.5,3142.5,3162.5,2026:03:03-09:30:00
3161.5,3182.5,3153.5,3172.5,2026:03:03-09:45:00
3171.5,3172.5,3140.5,3150.5,2026:03:03-10:00:00
3149.5,3164.5,3146.5,3163.5,2026:03:03-10:15:00
3162.5,3172.5,3150.5,3159.5,2026:03:03-10:30:00
